driver_code,meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed,clean
NOR,1290,11334,1,18,2026-07-19T13:38:21.390000+00:00,31.432,59.733,31.409,316.0,119,False,122.574,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",303.0,False
NOR,1290,11334,1,19,2026-07-19T13:40:23.900000+00:00,31.374,50.801,29.286,319.0,198,False,111.461,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2049, 2048, 2049, 2048, 2048, 2048]","[2048, 2051, 2049, 2048, 2048, 2048, 2048, 2048]",306.0,True
NOR,1290,11334,1,20,2026-07-19T13:42:15.404000+00:00,31.996,58.503,39.542,307.0,148,False,130.041,"[None, 2049, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",293.0,False
NOR,1290,11334,1,21,2026-07-19T13:44:25.490000+00:00,42.219,49.455,30.036,246.0,205,False,121.71,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2051, 2049, 2048, 2048, 2049, 2049, 2051, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",269.0,False
NOR,1290,11334,1,22,2026-07-19T13:46:27.045000+00:00,31.42,49.483,29.83,307.0,207,False,110.733,"[2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049, 2049, 2049]","[2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",299.0,True
NOR,1290,11334,1,23,2026-07-19T13:48:17.858000+00:00,31.45,50.262,29.563,305.0,201,False,111.275,"[2048, 2049, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2049, 2048, 2048]",301.0,True
NOR,1290,11334,1,24,2026-07-19T13:50:09.197000+00:00,31.13,49.708,29.59,317.0,204,False,110.428,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",304.0,True
NOR,1290,11334,1,25,2026-07-19T13:51:59.542000+00:00,31.179,50.188,29.536,312.0,202,False,110.903,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",305.0,True
NOR,1290,11334,1,26,2026-07-19T13:53:50.522000+00:00,31.303,50.502,29.262,311.0,200,False,111.067,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",302.0,True
NOR,1290,11334,1,27,2026-07-19T13:55:41.521000+00:00,31.405,50.264,29.305,317.0,201,False,110.974,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2049, 2048, 2048, 2048, 2048, 2049, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",303.0,True
NOR,1290,11334,1,28,2026-07-19T13:57:32.557000+00:00,31.5,49.88,29.363,312.0,203,False,110.743,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",302.0,True
NOR,1290,11334,1,29,2026-07-19T13:59:23.277000+00:00,31.335,51.177,29.284,313.0,205,False,111.796,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",305.0,True
NOR,1290,11334,1,30,2026-07-19T14:01:15.073000+00:00,31.142,50.302,33.612,322.0,206,False,115.056,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2064, 2064]",307.0,True
NOR,1290,11334,1,31,2026-07-19T14:03:10.086000+00:00,51.668,48.943,29.236,314.0,207,True,129.847,"[2064, 2064, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2051, 2049, 2051, 2048, 2048, 2049, 2049, 2049]","[2051, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",290.0,False
NOR,1290,11334,1,32,2026-07-19T14:05:19.930000+00:00,31.334,48.87,29.243,310.0,212,False,109.447,"[2048, 2048, 2048, 2048, 2048, 2051, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2049, 2048, 2048, 2048, 2048, 2049, 2049]","[2051, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",311.0,True
